Week,Season,Day,Visiting Team,Visiting,Conference,Division,Home,Home Team,Conference,Division,
10,2018,Sun,ARI,Cardinals,NFC,West,Chiefs,KC,AFC,West,
10,2018,Sun,BUF,Bills,AFC,East,Jets,NYJ,AFC,East,
10,2018,Sun,NE,Patriots,AFC,East,Titans,TEN,AFC,South,
10,2018,Sun,WAS,Redskins,NFC,East,Buccaneers,TB,NFC,South,
10,2018,Sun,LAC,Chargers,AFC,West,Raiders,OAK,AFC,West,
10,2018,Sun,SEA,Seahawks,NFC,West,Rams,STL,NFC,West,
10,2018,Sun,DAL,Cowboys,NFC,East,Eagles,PHI,NFC,East,
10,2018,Mon,NYG,Giants,NFC,East,49ers,SF,NFC,West,
11,2018,Thu,GB,Packers,NFC,North,Seahawks,SEA,NFC,West,
11,2018,Sun,DAL,Cowboys,NFC,East,Falcons,ATL,NFC,South,
11,2018,Sun,MIN,Vikings,NFC,North,Bears,CHI,NFC,North,
11,2018,Sun,TEN,Titans,AFC,South ,Colts,IND,AFC,South,
11,2018,Sun,CAR,Panthers,NFC,South,Lions,DET,NFC,North,
11,2018,Sun,PHI,Eagles,NFC,East,Saints,NO,NFC,South,
11,2018,Sun,TB,Buccaneers,NFC,South,Giants,NYG,NFC,East,
11,2018,Sun,CIN,Bengals,AFC,North,Ravens,BAL,AFC,North,
11,2018,Sun,HOU,Texans,AFC,South ,Redskins,WAS,NFC,East,
11,2018,Sun,OAK,Raiders,AFC,West,Cardinals,ARI,NFC,West,
11,2018,Sun,DEN,Broncos,AFC,West,Chargers,LAC,AFC,West,
11,2018,Sun,PIT,Steelers,AFC,North, Jaguars,JAX,AFC,South,
11,2018,Mon,KC,Chiefs,AFC,West,Rams,STL,NFC,West,
12,2018,Thu,CHI,Bears,NFC,North,Lions,DET,NFC,North,
12,2018,Thu,WAS,Redskins,NFC,East,Cowboys,DAL,NFC,East,
12,2018,Thu,ATL,Falcons,NFC,South,Saints,NO,NFC,South,
12,2018,Sun,JAX,Jaguars,AFC,South ,Bills,BUF,AFC,East,
12,2018,Sun,SEA,Seahawks,NFC,West,Panthers,CAR,NFC,South,
12,2018,Sun,CLE,Browns,AFC,North,Bengals,CIN,AFC,North,
