game_id,gameorder,date_game,year_id,neutral,is_playoff,fran_id,home,away,opp_fran,elo_i,elo_n,elo_prob,home_score,away_score,result
7,7NETB,10/25/2009,2010,1,0,Patriots,NE,TB,Buccaneers,1630.417,1374.951,0.813145604,35,7,1
7,7LARIND,10/25/2009,2010,0,0,Rams,LAR,IND,Colts,1274.056,1691.581,0.116161075,6,42,0
7,7KCLAC,10/25/2009,2010,0,0,Chiefs,KC,LAC,Chargers,1349.012,1527.883,0.341752509,7,37,0
7,7OAKNYJ,10/25/2009,2010,0,0,Raiders,OAK,NYJ,Jets,1395.759,1504.88,0.43684391,0,38,0
7,7PITMIN,10/25/2009,2010,0,0,Steelers,PIT,MIN,Vikings,1646.691,1615.498,0.635000875,27,17,1
7,7NYGARI,10/25/2009,2010,0,0,Giants,NYG,ARI,Cardinals,1623.079,1567.032,0.667478474,17,24,0
7,7MIANO,10/25/2009,2010,0,0,Dolphins,MIA,NO,Saints,1507.886,1650.72,0.389824848,34,46,0
7,7HOUSF,10/25/2009,2010,0,0,Texans,HOU,SF,49ers,1500.886,1463.285,0.643507122,24,21,1
7,7DALATL,10/25/2009,2010,0,0,Cowboys,DAL,ATL,Falcons,1558.57,1594.856,0.541228942,37,21,1
7,7CLEGB,10/25/2009,2010,0,0,Browns,CLE,GB,Packers,1375.675,1507.67,0.404763895,3,31,0
7,7CINCHI,10/25/2009,2010,0,0,Bengals,CIN,CHI,Bears,1481.416,1538.776,0.510993072,45,10,1
7,7CARBUF,10/25/2009,2010,0,0,Panthers,CAR,BUF,Bills,1497.411,1423.429,0.689984044,9,20,0
7,7WSHPHI,10/26/2009,2010,0,0,Redskins,WSH,PHI,Eagles,1423.835,1576.696,0.376185994,17,27,0
8,8DALSEA,11/1/2009,2010,0,0,Cowboys,DAL,SEA,Seahawks,1584.231,1424.358,0.784903336,38,17,1
8,8LACOAK,11/1/2009,2010,0,0,Chargers,LAC,OAK,Raiders,1550.2,1364.38,0.809047973,24,16,1
8,8BUFHOU,11/1/2009,2010,0,0,Bills,BUF,HOU,Texans,1460.032,1510.33,0.521145259,10,31,0
8,8ARICAR,11/1/2009,2010,0,0,Cardinals,ARI,CAR,Panthers,1596.408,1460.808,0.760376803,21,34,0
8,8DETLAR,11/1/2009,2010,0,0,Lions,DET,LAR,Rams,1302.272,1266.826,0.640656265,10,17,0
8,8GBMIN,11/1/2009,2010,0,0,Packers,GB,MIN,Vikings,1534.124,1598.726,0.500572768,26,38,0
8,8CHICLE,11/1/2009,2010,0,0,Bears,CHI,CLE,Browns,1503.85,1349.222,0.779762074,30,6,1
8,8BALDEN,11/1/2009,2010,0,0,Ravens,BAL,DEN,Broncos,1598.056,1586.8,0.608012341,30,7,1
8,8PHINYG,11/1/2009,2010,0,0,Eagles,PHI,NYG,Giants,1594.045,1593.703,0.592941489,40,17,1
8,8TENJAX,11/1/2009,2010,0,0,Titans,TEN,JAX,Jaguars,1470.288,1459.316,0.607622636,30,13,1
8,8NYJMIA,11/1/2009,2010,0,0,Jets,NYJ,MIA,Dolphins,1536.259,1488.572,0.656712608,25,30,0
8,8INDSF,11/1/2009,2010,0,0,Colts,IND,SF,49ers,1698.812,1453.841,0.856231511,18,14,1
8,8NOATL,11/2/2009,2010,0,0,Saints,NO,ATL,Falcons,1670.034,1569.195,0.72204857,35,27,1
