gameorder,date,season,game_id,away,opp_fran,away_conference,away_div,fran_id,home,home_conference,home_div
9,11/4/2018,2019,9PITBAL,PIT,Steelers,AFC,North,Ravens,BAL,AFC,North
9,11/4/2018,2019,9ATLWAS,ATL,Falcons,NFC,South,Redskins,WAS,NFC,East
9,11/4/2018,2019,9HOUDEN,HOU,Texans,AFC,South ,Broncos,DEN,AFC,West
9,11/4/2018,2019,9LACSEA,LAC,Chargers,AFC,West,Seahawks,SEA,NFC,West
9,11/4/2018,2019,9STLNO,STL,Rams,NFC,West,Saints,NO,NFC,South
9,11/4/2018,2019,9GBNE,GB,Packers,NFC,North,Patriots,NE,AFC,East
9,11/5/2018,2019,9TENDAL,TEN,Titans,AFC,South ,Cowboys,DAL,NFC,East
10,11/8/2018,2019,10CARPIT,CAR,Panthers,NFC,South,Steelers,PIT,AFC,North
10,11/11/2018,2019,10DETCHI,DET,Lions,NFC,North,Bears,CHI,NFC,North
10,11/11/2018,2019,10NOCIN,NO,Saints,NFC,South,Bengals,CIN,AFC,North
10,11/11/2018,2019,10ATLCLE,ATL,Falcons,NFC,South,Browns,CLE,AFC,North
10,11/11/2018,2019,10JAXIND,JAX,Jaguars,AFC,South ,Colts,IND,AFC,South
10,11/11/2018,2019,10MIAGB,MIA,Dolphins,AFC,West,Packers,GB,NFC,North
10,11/11/2018,2019,10ARIKC,ARI,Cardinals,NFC,West,Chiefs,KC,AFC,West
10,11/11/2018,2019,10BUFNYJ,BUF,Bills,AFC,East,Jets,NYJ,AFC,East
10,11/11/2018,2019,10NETEN,NE,Patriots,AFC,East,Titans,TEN,AFC,South
10,11/11/2018,2019,10WASTB,WAS,Redskins,NFC,East,Buccaneers,TB,NFC,South
10,11/11/2018,2019,10LACOAK,LAC,Chargers,AFC,West,Raiders,OAK,AFC,West
10,11/11/2018,2019,10SEASTL,SEA,Seahawks,NFC,West,Rams,STL,NFC,West
10,11/11/2018,2019,10DALPHI,DAL,Cowboys,NFC,East,Eagles,PHI,NFC,East
10,11/12/2018,2019,10NYGSF,NYG,Giants,NFC,East,49ers,SF,NFC,West
11,11/15/2018,2019,11GBSEA,GB,Packers,NFC,North,Seahawks,SEA,NFC,West
11,11/18/2018,2019,11DALATL,DAL,Cowboys,NFC,East,Falcons,ATL,NFC,South
11,11/18/2018,2019,11MINCHI,MIN,Vikings,NFC,North,Bears,CHI,NFC,North
11,11/18/2018,2019,11TENIND,TEN,Titans,AFC,South ,Colts,IND,AFC,South
11,11/18/2018,2019,11CARDET,CAR,Panthers,NFC,South,Lions,DET,NFC,North
11,11/18/2018,2019,11PHINO,PHI,Eagles,NFC,East,Saints,NO,NFC,South
11,11/18/2018,2019,11TBNYG,TB,Buccaneers,NFC,South,Giants,NYG,NFC,East
11,11/18/2018,2019,11CINBAL,CIN,Bengals,AFC,North,Ravens,BAL,AFC,North
11,11/18/2018,2019,11HOUWAS,HOU,Texans,AFC,South ,Redskins,WAS,NFC,East
11,11/18/2018,2019,11OAKARI,OAK,Raiders,AFC,West,Cardinals,ARI,NFC,West
11,11/18/2018,2019,11DENLAC,DEN,Broncos,AFC,West,Chargers,LAC,AFC,West
11,11/18/2018,2019,11PITJAX,PIT,Steelers,AFC,North, Jaguars,JAX,AFC,South
11,11/19/2018,2019,11KCSTL,KC,Chiefs,AFC,West,Rams,STL,NFC,West
12,11/22/2018,2019,12CHIDET,CHI,Bears,NFC,North,Lions,DET,NFC,North
12,11/22/2018,2019,12WASDAL,WAS,Redskins,NFC,East,Cowboys,DAL,NFC,East
12,11/22/2018,2019,12ATLNO,ATL,Falcons,NFC,South,Saints,NO,NFC,South
12,11/25/2018,2019,12JAXBUF,JAX,Jaguars,AFC,South ,Bills,BUF,AFC,East
12,11/25/2018,2019,12SEACAR,SEA,Seahawks,NFC,West,Panthers,CAR,NFC,South
12,11/25/2018,2019,12CLECIN,CLE,Browns,AFC,North,Bengals,CIN,AFC,North
12,11/25/2018,2019,12MIAIND,MIA,Dolphins,AFC,East,Colts,IND,AFC,South
12,11/25/2018,2019,12NENYJ,NE,Patriots,AFC,East,Jets,NYJ,AFC,East
12,11/25/2018,2019,12NYGPHI,NYG,Giants,NFC,East,Eagles,PHI,NFC,East
12,11/25/2018,2019,12OAKBAL,OAK,Raiders,AFC,West,Ravens,BAL,AFC,North
12,11/25/2018,2019,12SFTB,SF,49ers,NFC,West,Buccaneers,TB,NFC,South
12,11/25/2018,2019,12ARILAC,ARI,Cardinals,NFC,West,Chargers,LAC,AFC,West
12,11/25/2018,2019,12PITDEN,PIT,Steelers,AFC,North,Broncos,DEN,AFC,West
12,11/25/2018,2019,12GBMIN,GB,Packers,NFC,North,Vikings,MIN,NFC,North
12,11/26/2018,2019,12TENHOU,TEN,Titans,AFC,South ,Texans,HOU,AFC,South
13,11/29/2018,2019,13NODAL,NO,Saints,NFC,South,Cowboys,DAL,NFC,East
13,12/2/2018,2019,13BALATL,BAL,Ravens,AFC,North,Falcons,ATL,NFC,South
13,12/2/2018,2019,13DENCIN,DEN,Broncos,AFC,West,Bengals,CIN,AFC,North
13,12/2/2018,2019,13STLDET,STL,Rams,NFC,West,Lions,DET,NFC,North
13,12/2/2018,2019,13ARIGB,ARI,Cardinals,NFC,West,Packers,GB,NFC,North
13,12/2/2018,2019,13CLEHOU,CLE,Browns,AFC,North,Texans,HOU,AFC,South
13,12/2/2018,2019,13INDJAX,IND,Colts,AFC,South , Jaguars,JAX,AFC,South
13,12/2/2018,2019,13BUFMIA,BUF,Bills,AFC,East,Dolphins,MIA,AFC,East
13,12/2/2018,2019,13CHINYG,CHI,Bears,NFC,North,Giants,NYG,NFC,East
13,12/2/2018,2019,13LACPIT,LAC,Chargers,AFC,West,Steelers,PIT,AFC,North
13,12/2/2018,2019,13CARTB,CAR,Panthers,NFC,South,Buccaneers,TB,NFC,South
13,12/2/2018,2019,13NYJTEN,NYJ, Jets,AFC,East,Titans,TEN,AFC,South
13,12/2/2018,2019,13KCOAK,KC,Chiefs,AFC,West,Raiders,OAK,AFC,West
13,12/2/2018,2019,13MINNE,MIN,Vikings,NFC,North,Patriots,NE,AFC,East
13,12/2/2018,2019,13SFSEA,SF,49ers,NFC,West,Seahawks,SEA,NFC,West
13,12/3/2018,2019,13WASPHI,WAS,Redskins,NFC,East,Eagles,PHI,NFC,East
14,12/6/2018,2019,14JAXTEN,JAX,Jaguars,AFC,South ,Titans,TEN,AFC,South
14,12/9/2018,2019,14NYJBUF,NYJ, Jets,AFC,East,Bills,BUF,AFC,East
14,12/9/2018,2019,14STLCHI,STL,Rams,NFC,West,Bears,CHI,NFC,North
14,12/9/2018,2019,14CARCLE,CAR,Panthers,NFC,South,Browns,CLE,AFC,North
14,12/9/2018,2019,14ATLGB,ATL,Falcons,NFC,South,Packers,GB,NFC,North
14,12/9/2018,2019,14INDHOU,IND,Colts,AFC,South ,Texans,HOU,AFC,South
14,12/9/2018,2019,14BALKC,BAL,Ravens,AFC,North,Chiefs,KC,AFC,West
14,12/9/2018,2019,14NEMIA,NE,Patriots,AFC,East,Dolphins,MIA,AFC,East
14,12/9/2018,2019,14NOTB,NO,Saints,NFC,South,Buccaneers,TB,NFC,South
14,12/9/2018,2019,14NYGWAS,NYG,Giants,NFC,East,Redskins,WAS,NFC,East
14,12/9/2018,2019,14CINLAC,CIN,Bengals,AFC,North,Chargers,LAC,AFC,West
14,12/9/2018,2019,14DENSF,DEN,Broncos,AFC,West,49ers,SF,NFC,West
14,12/9/2018,2019,14DETARI,DET,Lions,NFC,North,Cardinals,ARI,NFC,West
14,12/9/2018,2019,14PHIDAL,PHI,Eagles,NFC,East,Cowboys,DAL,NFC,East
14,12/9/2018,2019,14PITOAK,PIT,Steelers,AFC,North,Raiders,OAK,AFC,West
14,12/10/2018,2019,14MINSEA,MIN,Vikings,NFC,North,Seahawks,SEA,NFC,West
15,12/13/2018,2019,15LACKC,LAC,Chargers,AFC,West,Chiefs,KC,AFC,West
15,12/15/2018,2019,15CLEDEN,CLE,Browns,AFC,North,Broncos,DEN,AFC,West
15,12/15/2018,2019,15HOUNYJ,HOU,Texans,AFC,South ,Jets,NYJ,AFC,East
15,12/16/2018,2019,15ARIATL,ARI,Cardinals,NFC,West,Falcons,ATL,NFC,South
15,12/16/2018,2019,15DETBUF,DET,Lions,NFC,North,Bills,BUF,AFC,East
15,12/16/2018,2019,15GBCHI,GB,Packers,NFC,North,Bears,CHI,NFC,North
15,12/16/2018,2019,15OAKCIN,OAK,Raiders,AFC,West,Bengals,CIN,AFC,North
15,12/16/2018,2019,15DALIND,DAL,Cowboys,NFC,East,Colts,IND,AFC,South
15,12/16/2018,2019,15WASJAX,WAS,Redskins,NFC,East, Jaguars,JAX,AFC,South
15,12/16/2018,2019,15MIAMIN,MIA,Dolphins,AFC,West,Vikings,MIN,NFC,North
15,12/16/2018,2019,15TENNYG,TEN,Titans,AFC,South ,Giants,NYG,NFC,East
15,12/16/2018,2019,15TBBAL,TB,Buccaneers,NFC,South,Ravens,BAL,AFC,North
15,12/16/2018,2019,15SEASF,SEA,Seahawks,NFC,West,49ers,SF,NFC,West
15,12/16/2018,2019,15NEPIT,NE,Patriots,AFC,East,Steelers,PIT,AFC,North
15,12/16/2018,2019,15PHISTL,PHI,Eagles,NFC,East,Rams,STL,NFC,West
15,12/17/2018,2019,15NOCAR,NO,Saints,NFC,South,Panthers,CAR,NFC,South
16,12/23/2018,2019,16ATLCAR,ATL,Falcons,NFC,South,Panthers,CAR,NFC,South
16,12/23/2018,2019,16CINCLE,CIN,Bengals,AFC,North,Browns,CLE,AFC,North
16,12/23/2018,2019,16NYGIND,NYG,Giants,NFC,East,Colts,IND,AFC,South
16,12/23/2018,2019,16TBDAL,TB,Buccaneers,NFC,South,Cowboys,DAL,NFC,East
16,12/23/2018,2019,16MINDET,MIN,Vikings,NFC,North,Lions,DET,NFC,North
16,12/23/2018,2019,16JAXMIA,JAX,Jaguars,AFC,South ,Dolphins,MIA,AFC,East
16,12/23/2018,2019,16BUFNE,BUF,Bills,AFC,East,Patriots,NE,AFC,East
16,12/23/2018,2019,16GBNYJ,GB,Packers,NFC,North,Jets,NYJ,AFC,East
16,12/23/2018,2019,16WASTEN,WAS,Redskins,NFC,East,Titans,TEN,AFC,South
16,12/23/2018,2019,16HOUPHI,HOU,Texans,AFC,South ,Eagles,PHI,NFC,East
16,12/23/2018,2019,16STLARI,STL,Rams,NFC,West,Cardinals,ARI,NFC,West
16,12/23/2018,2019,16BALLAC,BAL,Ravens,AFC,North,Chargers,LAC,AFC,West
16,12/23/2018,2019,16CHISF,CHI,Bears,NFC,North,49ers,SF,NFC,West
16,12/23/2018,2019,16PITNO,PIT,Steelers,AFC,North,Saints,NO,NFC,South
16,12/23/2018,2019,16KCSEA,KC,Chiefs,AFC,West,Seahawks,SEA,NFC,West
16,12/24/2018,2019,16DENOAK,DEN,Broncos,AFC,West,Raiders,OAK,AFC,West
17,12/30/2018,2019,17MIABUF,MIA,Dolphins,AFC,East,Bills,BUF,AFC,East
17,12/30/2018,2019,17DETGB,DET,Lions,NFC,North,Packers,GB,NFC,North
17,12/30/2018,2019,17JAXHOU,JAX,Jaguars,AFC,South ,Texans,HOU,AFC,South
17,12/30/2018,2019,17OAKKC,OAK,Raiders,AFC,West,Chiefs,KC,AFC,West
17,12/30/2018,2019,17CHIMIN,CHI,Bears,NFC,North,Vikings,MIN,NFC,North
17,12/30/2018,2019,17CARNO,CAR,Panthers,NFC,South,Saints,NO,NFC,South
17,12/30/2018,2019,17NYJNE,NYJ, Jets,AFC,East,Patriots,NE,AFC,East
17,12/30/2018,2019,17DALNYG,DAL,Cowboys,NFC,East,Giants,NYG,NFC,East
17,12/30/2018,2019,17INDTEN,IND,Colts,AFC,South ,Titans,TEN,AFC,South
17,12/30/2018,2019,17CINPIT,CIN,Bengals,AFC,North,Steelers,PIT,AFC,North
17,12/30/2018,2019,17CLEBAL,CLE,Browns,AFC,North,Ravens,BAL,AFC,North
17,12/30/2018,2019,17ATLTB,ATL,Falcons,NFC,South,Buccaneers,TB,NFC,South
17,12/30/2018,2019,17PHIWAS,PHI,Eagles,NFC,East,Redskins,WAS,NFC,East
17,12/30/2018,2019,17LACDEN,LAC,Chargers,AFC,West,Broncos,DEN,AFC,West
17,12/30/2018,2019,17SFSTL,SF,49ers,NFC,West,Rams,STL,NFC,West
17,12/30/2018,2019,17ARISEA,ARI,Cardinals,NFC,West,Seahawks,SEA,NFC,West
